speech_id,party,sentiment_score,negativity_score,speech_length,avg_sentence_length,kw_democracy_count,kw_democracy_freq,kw_economy_count,kw_economy_freq,kw_welfare_health_count,kw_welfare_health_freq,kw_education_count,kw_education_freq,kw_environment_count,kw_environment_freq,kw_security_defense_count,kw_security_defense_freq,kw_foreign_policy_count,kw_foreign_policy_freq,kw_immigration_count,kw_immigration_freq
112,Republican,0.9999,0.082,2941,2941.0,6,0.002040122407344441,43,0.014620877252635158,6,0.002040122407344441,2,0.0006800408024481469,0,0.0,6,0.002040122407344441,67,0.022781366882012922,2,0.0006800408024481469
113,Democrat,0.9995,0.066,1129,1129.0,7,0.006200177147918512,0,0.0,0,0.0,12,0.010628875110717449,0,0.0,5,0.0044286979627989375,3,0.002657218777679362,0,0.0
114,Republican,0.9798,0.034,370,370.0,0,0.0,0,0.0,2,0.005405405405405406,7,0.01891891891891892,0,0.0,0,0.0,0,0.0,0,0.0
115,Democrat,0.9984,0.086,2292,2292.0,1,0.0004363001745200698,18,0.007853403141361256,16,0.006980802792321117,2,0.0008726003490401396,0,0.0,10,0.004363001745200698,3,0.0013089005235602095,0,0.0
116,Republican,1.0,0.103,4875,4875.0,54,0.011076923076923076,7,0.001435897435897436,1,0.00020512820512820512,2,0.00041025641025641023,3,0.0006153846153846154,60,0.012307692307692308,74,0.015179487179487179,0,0.0
117,Democrat,0.9997,0.107,2368,2368.0,6,0.002533783783783784,11,0.0046452702702702705,7,0.0029560810810810812,2,0.0008445945945945946,1,0.0004222972972972973,12,0.005067567567567568,8,0.0033783783783783786,1,0.0004222972972972973
118,Republican,1.0,0.111,5185,5185.0,30,0.0057859209257473485,22,0.004243008678881389,3,0.0005785920925747348,10,0.0019286403085824494,0,0.0,15,0.0028929604628736743,16,0.003085824493731919,4,0.0007714561234329798
119,Republican,0.9616,0.139,642,642.0,0,0.0,1,0.001557632398753894,1,0.001557632398753894,0,0.0,0,0.0,9,0.014018691588785047,1,0.001557632398753894,0,0.0
120,Democrat,0.9874,0.051,569,569.0,4,0.007029876977152899,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0035149384885764497,0,0.0
121,Republican,0.9545,0.092,149,149.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,Republican,0.989,0.018,538,538.0,3,0.0055762081784386614,0,0.0,1,0.0018587360594795538,0,0.0,0,0.0,2,0.0037174721189591076,7,0.013011152416356878,0,0.0
123,Democrat,1.0,0.076,5521,5521.0,21,0.0038036587574714724,50,0.009056330374932078,4,0.0007245064299945662,0,0.0,7,0.001267886252490491,26,0.00470929179496468,37,0.006701684477449737,1,0.00018112660749864155
124,Republican,1.0,0.077,9042,9042.0,21,0.00232249502322495,45,0.004976775049767751,1,0.00011059500110595002,7,0.00077416500774165,5,0.0005529750055297501,10,0.0011059500110595002,20,0.0022119000221190004,0,0.0
125,Democrat,0.9524,0.062,251,251.0,2,0.00796812749003984,1,0.00398406374501992,5,0.0199203187250996,0,0.0,0,0.0,2,0.00796812749003984,3,0.01195219123505976,0,0.0
126,Democrat,-0.9281,0.193,146,146.0,0,0.0,3,0.02054794520547945,4,0.0273972602739726,1,0.00684931506849315,0,0.0,0,0.0,0,0.0,0,0.0
127,Democrat,1.0,0.072,2262,2262.0,33,0.014588859416445624,13,0.005747126436781609,5,0.0022104332449160036,0,0.0,1,0.0004420866489832007,29,0.01282051282051282,53,0.023430592396109638,0,0.0
128,Republican,-0.9161,0.179,298,298.0,0,0.0,0,0.0,5,0.016778523489932886,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
129,Republican,0.9986,0.064,545,545.0,1,0.001834862385321101,0,0.0,0,0.0,0,0.0,4,0.007339449541284404,7,0.012844036697247707,12,0.022018348623853212,2,0.003669724770642202
130,Republican,0.9997,0.111,7859,7859.0,8,0.0010179412138948975,76,0.009670441532001526,13,0.0016541544725792085,2,0.0002544853034737244,3,0.00038172795521058657,20,0.002544853034737244,47,0.005980404631632523,1,0.0001272426517368622
131,Republican,0.869,0.145,166,166.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.012048192771084338,0,0.0,0,0.0
132,Republican,1.0,0.108,10281,10281.0,22,0.002139869662484194,27,0.0026262036766851473,32,0.003112537690886101,5,0.00048633401420095323,4,0.0003890672113607626,28,0.002723470479525338,21,0.0020426028596440037,16,0.0015562688454430504
133,Republican,0.9997,0.089,2404,2404.0,8,0.0033277870216306157,2,0.0008319467554076539,1,0.00041597337770382697,9,0.0037437603993344427,0,0.0,9,0.0037437603993344427,0,0.0,0,0.0
